gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
ZDHHC16,species,-0.08254723920700716,0.05074175922027558,0.10796756044089403,-0.16035854055857784,0.10530325765968795,0.11722866643183658,0.13308889309913904,0.4753232467700357
EXOSC1,species,0.04222040644416582,0.0462247398110989,0.36339382835646256,0.050518852264939816,0.10420342945473303,0.6438016686239605,0.40686446575598245,0.8880014463706318
PGAM1,species,-0.3316514475005393,0.04047844434694556,1.7910017983879584e-16,-0.10128224061286965,0.10077828888814566,0.30114185869943094,6.534039971659457e-16,0.6869951506830313
KNDC1,species,-0.43104392277919523,0.03734294472365911,7.020269708972599e-31,0.0653903660379859,0.09605753234742055,0.5105735923403456,4.315352654569396e-30,0.83714902669026
PTEN,species,0.07282443468902233,0.018788670900414008,0.00011785172463267688,0.051460818983453775,0.06447667089012357,0.44376980254597564,0.00020821354136227094,0.7939104834262475
JMJD1C,species,-0.08117276682827661,0.010609400638611294,1.71204573818959e-14,0.11729999713092988,0.041810617054938326,0.004002887268708424,5.739916244625398e-14,0.05827907353071412
LRRC20,species,-0.35331539870010714,0.03858432165396779,4.7832385977185526e-20,-0.0713949509099881,0.07992108606007511,0.3286765890683504,2.0639858317927146e-19,0.7126276796794272
HPSE2,species,2.0740410607834154,0.0694280579568967,8.334909749423605e-196,-0.03133541571941558,0.19798060906946416,0.7596513109647691,4.457759214283563e-194,0.9276760805848112
NOC3L,species,-0.008417395230219124,0.03998237556865991,0.8356037311548499,-0.037025405280006175,0.08920503185082689,0.6215595375963098,0.8586480897058463,0.8793775570599581
NET1,species,-0.22972482818407453,0.03470577584714871,4.925594357944421e-11,-0.12235059768252081,0.0815936928351568,0.14798100257068683,1.37469019673976e-10,0.5220397880341885
FGFBP3,species,0.7572046379541021,0.050436582729110474,5.683803220442429e-51,0.310719735341633,0.1337090336924033,0.018064632224912933,5.699752668254895e-50,0.1615746741208936
CTBP2,species,0.15398877274053926,0.01571761434779351,1.1578590143126457e-22,0.09572926042277291,0.05180666575020117,0.07245401687047312,5.503680514223712e-22,0.37328537394210987
PPP2R2D,species,0.13606955062079695,0.0218501704910607,4.5289352852699997e-10,-0.030885878198892856,0.06842305860720946,0.6501662084774378,1.1876747569310452e-09,0.8883093755748892
BNIP3,species,0.28638656751238667,0.03326288906686204,7.352132631848541e-18,-0.004782591401503023,0.07327960041399312,0.8640321783697129,2.846010179792872e-17,0.9616311017278587
SLC35G1,species,0.012052176492486803,0.05127095025232233,0.7945208707279632,-0.1316080765619233,0.1306684477552128,0.34332279576922725,0.8213705569576919,0.7246634481468336
TCERG1L,species,0.32416703314216755,0.06358189922772307,3.5647830755094377e-07,1.1276023067652365,0.2232677569197415,2.828707300968868e-07,7.73353326149426e-07,1.6115432463925535e-05
SEC24C,species,0.06717496961749034,0.030557061670056788,0.030586580186305782,-0.0647258321669552,0.08634613199963447,0.42143993342711605,0.04104312910475099,0.7805527750007673
CSTF2T,species,0.2061301360962469,0.04032404550929319,3.038185303434116e-07,0.057714539721427066,0.08951809711845411,0.5340551967408063,6.617161862869741e-07,0.8485167405957431
CASC2,species,-0.08922419464454806,0.03943448372462299,0.023018095782843445,-0.02849584352571389,0.07196273191102917,0.6994255672355965,0.03142901511717874,0.9094824405370414
ZNF518A,species,0.1009367771589176,0.017764815952389292,1.0919334400088215e-08,-0.057739732131085034,0.06457873946006414,0.36431086824459746,2.618258838780501e-08,0.740176079319235
PSTK,species,0.20523339168021462,0.05514832303836413,0.0002298628052885341,-0.04235575469293497,0.12483331874272907,0.6320762989333779,0.00039440885534230795,0.8850873314523174
SKIDA1,species,-0.0328282071210328,0.050443227990136154,0.544717097517228,-0.15817758539055982,0.10766800206878695,0.14813041293350387,0.5889926861065117,0.522242738333277
PCGF5,species,-0.14544065403463272,0.03601146638555732,4.499068511541811e-05,0.03784031016320497,0.07321929388144088,0.6420137341219848,8.260550359117635e-05,0.887270247465154
PPA1,species,0.13641542210917076,0.055520399139726236,0.014544126952668318,0.05365391300957881,0.11233490226079657,0.5823766787826029,0.020371624105091454,0.8675003744160221
DHTKD1,species,0.07170012408488327,0.025723728341777233,0.005633185072962083,0.06214035718726017,0.08205526136320801,0.41853449737101306,0.008278149727780916,0.7802983681126168
RTKN2,species,-0.04547547269829995,0.03177619028834733,0.14469343507623755,-0.027298987573516797,0.05199802933715627,0.625209397701106,0.1747971399153933,0.8811029500839754
GRID1,species,0.21290130116397432,0.05191776544546239,4.037494730754522e-05,-0.13223267628410215,0.11890815810642813,0.23679120871034937,7.447860997933377e-05,0.6327644837852355
CAMK1D,species,0.0893360021369857,0.01587279882674729,1.6657992612366936e-08,0.016790142877007714,0.044317681578400964,0.7803587778441854,3.94235815528082e-08,0.9351991650186772
CTNNA3,species,-0.9151140568494267,0.021412968065694236,0.0,-0.5854873288378931,0.04185959301498854,3.315063132806704e-44,0.0,1.8616447392947362e-41
ZNF438,species,-0.07975628176067191,0.026524463745928362,0.002515914400035739,0.1921680692502546,0.06174811994267128,0.0022961653599787085,0.003852769577927733,0.038491368998193186
RNLS,species,-0.005630800765619786,0.04032767832851711,0.8398627804898207,-0.007728567005635003,0.06699847169819372,0.8032256509994906,0.8621231466524312,0.9390918053751739
AP3M1,species,-0.130554320694532,0.03523884280856904,0.00020022040168009324,-0.040083203206771195,0.08735964127806596,0.6472714716352819,0.00034550763784216266,0.8883093755748892
PRKG1,species,0.5374696809607703,0.017635677620629238,3.417874438944871e-204,-0.27209245533811394,0.03764467609830395,4.4031331853730237e-13,1.990468802887746e-202,5.372463624116768e-11
ADARB2,species,0.2857976429652986,0.03350710057505099,1.2620749499908447e-17,0.12135215978633408,0.07289630681883452,0.08676505004374024,4.842573575806745e-17,0.4126720045032582
NRG3,species,0.15494785545352618,0.01650283717855651,4.2506973857521795e-21,-0.07001221655820486,0.03608709017823534,0.06441221913273616,1.9020479707901897e-20,0.35263746089072534
SHTN1,species,-0.2564007286880794,0.023728327314796772,3.715338797424646e-27,-0.014505450459276753,0.06399230375958156,0.765254584059744,2.035539625460109e-26,0.9301842207603134
HSPA14,species,-0.24126459058978597,0.04692660968161227,2.5593987548441356e-07,-0.08247937063993423,0.09295529106283303,0.3709177442041482,5.601891149940032e-07,0.7439171696257687
UROS,species,0.14189648109126726,0.04710820774679601,0.0025180663968596964,0.10234764361249307,0.09648082791995088,0.2942317704950496,0.003855314121151107,0.6825760341198229
ZNF33A,species,0.185051884444036,0.016844670521034465,2.9346960110017236e-28,0.007794744901479964,0.06470556138691921,0.8629508573188132,1.663488106596651e-27,0.9612524284840619
FAM53B,species,0.03881892669958916,0.03541342465578698,0.27032747962731296,-0.09153426818375958,0.07915310164591062,0.3160866134996663,0.31117344726646184,0.7005357441929045
ACADSB,species,0.40581496130675165,0.041291839230460044,9.637986924445962e-23,0.14923217270472403,0.11526774920012921,0.21202368167348756,4.595139672528451e-22,0.6039590918462928
LCOR,species,0.08305861640934308,0.016290144872576327,3.9561988474597016e-07,0.04836159753318549,0.06471365161972106,0.464194013040165,8.556708483831684e-07,0.8083136804693306
ZNF33B,species,0.24471293075306574,0.02627368862414797,1.2435782987372297e-20,-0.17384173859211866,0.07650590251165933,0.02069052845197318,5.501976693681542e-20,0.17761165546937915
NHLRC2,species,0.07299828301933997,0.015827988918649064,3.3801380603422365e-06,-0.13178085549149024,0.06036398396361176,0.030233513291867187,6.8122649142298555e-06,0.22441575845405343
FUT11,species,0.10823037687559425,0.040065608793916234,0.006445538561507752,0.0852928888989432,0.08944014720268223,0.29242750250864274,0.009408619415256952,0.6808010141317588
SVIL,species,0.18854835434018666,0.014224931168266295,5.092097124939143e-40,-0.13887776234034915,0.05100229683163636,0.005198684785847203,3.9249085878697594e-39,0.07004303674807286
PSAP,species,0.05943702130755815,0.017575411742007153,0.0006559648795559649,-0.1068044862936149,0.07167593954378973,0.1439987167617206,0.0010768836673771135,0.517215555595458
CFAP43,species,-0.09915169091762087,0.0444091114198669,0.024480865586189594,0.24303692141202907,0.0986944944004448,0.01713758934894636,0.03331058588415067,0.15604030417112486
MCMBP,species,0.12182074492762975,0.02606844130367249,3.3106174247527347e-06,0.023951230916074227,0.07200035178143982,0.7466381136076394,6.677289428785531e-06,0.9262816215591287
ENTPD7,species,-0.2016088423018076,0.05163784908003934,7.357093483494195e-05,0.05573178075032557,0.1034895610845786,0.6034641430519502,0.00013236034088611294,0.8745452083219968
MARCHF5,species,0.4494869908254896,0.03258066003187791,3.2922669844309925e-43,0.038038508720341216,0.0803098299768943,0.5926895876187601,2.7448359524492538e-42,0.8734397200205747
ZNF248,species,0.37578813741970807,0.02756909521268602,2.4206770655302637e-42,0.12924545035901655,0.06911439965354185,0.06647511390636943,1.9762578493456837e-41,0.35771892233530217
OGA,species,0.15486808462601911,0.01272092713376222,2.8017044466890253e-34,-0.09172233898933435,0.05847762062660526,0.11924811860270845,1.884260082110275e-33,0.4777922509904468
